x,y,noise_dB
105.8291663,20.9920637,70.45671866699519
105.8294663,20.9920637,72.38780911464
105.8297663,20.9920637,72.38780911464
105.83006629999998,20.9920637,72.37681280437403
105.83036629999998,20.9920637,72.37681280437403
105.83066629999998,20.9920637,72.37681280437403
105.83096629999996,20.9920637,72.38780911464
105.83126629999995,20.9920637,72.37681280437403
105.83156629999996,20.9920637,72.37681280437403
105.83186629999996,20.9920637,74.33842828941076
105.83216629999995,20.9920637,76.0280104487774
105.83246629999996,20.9920637,76.0280104487774
105.83276629999996,20.9920637,75.11303042408133
105.83306629999994,20.9920637,75.11303042408133
105.83336629999994,20.9920637,76.0280104487774
105.83366629999992,20.9920637,75.11303042408133
105.83396629999991,20.9920637,75.81146017576194
105.83426629999992,20.9920637,75.81146017576194
105.83456629999992,20.9920637,76.61135431033243
105.83486629999992,20.9920637,77.12532711060739
105.83516629999993,20.9920637,77.22897046095527
105.83546629999992,20.9920637,75.09229160327328
105.8357662999999,20.9920637,75.89504748427863
105.8360662999999,20.9920637,72.9051846087594
105.8363662999999,20.9920637,71.97612738590799
105.83666629999988,20.9920637,71.86875823610222
105.83696629999989,20.9920637,62.75017471890859
105.83726629999988,20.9920637,64.32569105822785
105.83756629999988,20.9920637,62.87396832874485
105.83786629999987,20.9920637,56.73563628861311
105.83816629999988,20.9920637,56.18727439809143
105.83846629999988,20.9920637,56.54670702999677
105.83876629999986,20.9920637,56.801297501213085
105.83906629999986,20.9920637,56.99487726417193
105.83936629999984,20.9920637,56.66681231059894
105.83966629999983,20.9920637,56.82993199557308
105.83996629999984,20.9920637,56.304622853517515
105.84026629999984,20.9920637,57.89086718708509
105.84056629999984,20.9920637,55.946387930449376
105.84086629999985,20.9920637,51.026865560707606
105.84116629999984,20.9920637,51.72739875336106
105.84146629999982,20.9920637,45.50106642942086
105.84176629999982,20.9920637,46.639151247608
105.8420662999998,20.9920637,52.32433519300264
105.8423662999998,20.9920637,49.72008049863051
105.8426662999998,20.9920637,63.197042618589094
